entropy,left/right (1/0),number of exudate pixels,min distance from od centre,max distance from od centre,average distance from od centre,DR
4.660113286,0,16,560.8110199,563.0008881,561.9042182,1.00000
4.400989555,1,120,722.0110802,967.4378533,949.9016413,1.00000
4.631236858,0,2896,758.6197994,886.3791514,798.3394278,1.00000
3.482548947,1,58,709.0592359,722.7205546,715.8770629,1.00000
3.508682813,0,0,0,0,0,1.00000
3.691657417,1,0,0,0,0,1.00000
4.452763388,1,130,1087.735722,1095.172133,1092.272225,1.00000
4.012108638,0,4832,314.1591953,621.5472629,403.8879594,1.00000
4.730764104,0,7096,242.3324163,642.1347211,429.0111629,0.00000
3.732881776,1,1944,370.8638564,1105.484961,493.891762,1.00000
4.005261589,1,0,0,0,0,1.00000
3.803471693,0,752,197.8004044,336.9169037,221.6949573,1.00000
2.979083244,0,196,104.5466403,171.9680203,133.1120293,1.00000
3.711007335,1,0,0,0,0,1.00000
4.36168076,0,0,0,0,0,1.00000
3.640112897,1,8,500.9600782,502.0209159,501.4905283,1.00000
4.157519344,0,0,0,0,0,1.00000
3.658819341,1,868,313.0447252,834.6526224,601.0890241,1.00000
4.384978853,0,0,0,0,0,1.00000
4.179756164,1,0,0,0,0,0.00000
4.075768855,1,0,0,0,0,1.00000
3.368200146,0,1670,178.6309044,587.3074152,402.0681831,1.00000
3.627491715,1,0,0,0,0,1.00000
3.866156051,0,0,0,0,0,1.00000
3.365638028,1,0,0,0,0,1.00000
3.100866058,0,0,0,0,0,1.00000
4.125291209,0,0,0,0,0,1.00000
3.825481767,1,0,0,0,0,1.00000
3.670902765,1,0,0,0,0,1.00000
3.858467997,1,0,0,0,0,1.00000
3.586762049,0,460,381.3764544,387.3306081,384.0759134,0.00000
3.778827879,0,0,0,0,0,1.00000
3.600249402,0,1896,7.615773106,536.1949272,413.2328701,1.00000
3.296404597,1,598,522.8278876,737.3608343,579.3564535,1.00000
3.112614075,0,0,0,0,0,1.00000
3.750470648,1,16,467.7488642,795.8705925,673.4495624,1.00000
3.483909041,0,0,0,0,0,1.00000
3.887613711,0,6344,60.20797289,540.2462402,290.6770922,1.00000
3.677076372,0,0,0,0,0,1.00000
3.789046869,1,0,0,0,0,1.00000
3.896068974,0,0,0,0,0,1.00000
3.715304636,0,0,0,0,0,1.00000
3.676093603,1,0,0,0,0,1.00000
3.321727269,0,0,0,0,0,1.00000
3.633066081,0,1128,213.0375554,438.1529413,325.9854115,1.00000
3.368200146,0,1670,178.6309044,587.3074152,402.0681831,1.00000
3.631182397,1,4556,380.6796554,698.5220111,510.8413915,1.00000
3.766284398,0,3748,161.993827,544.2912823,298.2534995,1.00000
3.073367552,1,6594,395.5679461,823.8986588,525.7110164,1.00000
3.819381826,1,32,827.6599543,836.6749668,832.2449137,1.00000
3.502215132,0,314,490.2611549,610.7519955,519.641195,1.00000
3.701121448,1,312,452.027654,804.005597,725.2701212,1.00000
3.899689751,1,0,0,0,0,1.00000
3.994419167,0,120,458.209559,469.7925074,465.0776078,1.00000
3.578782391,0,0,0,0,0,1.00000
3.466543681,0,0,0,0,0,1.00000
3.326981148,0,0,0,0,0,1.00000
3.768012112,0,1514,123.9435355,413.1888188,227.9934013,1.00000
3.538868171,0,0,0,0,0,1.00000
3.836369122,0,0,0,0,0,1.00000
3.655587799,0,0,0,0,0,1.00000
3.795217499,1,0,0,0,0,1.00000
3.730192155,1,0,0,0,0,1.00000
3.75990392,1,4934,227.8815482,521.3952436,385.0954536,1.00000
3.34726997,0,0,0,0,0,1.00000
3.46822741,1,0,0,0,0,1.00000
3.591097501,0,0,0,0,0,1.00000
3.258587165,1,196,522.012452,891.8520057,602.0220076,1.00000
3.433085218,0,0,0,0,0,1.00000
3.593530256,0,0,0,0,0,1.00000
3.642264581,0,6,580.8201098,717.1784994,671.4320112,1.00000
3.837273614,1,0,0,0,0,1.00000
3.798550452,0,4,703.0199144,703.9147676,703.467341,1.00000
4.030548572,1,0,0,0,0,1.00000
3.424658262,1,0,0,0,0,1.00000
3.918318756,1,0,0,0,0,1.00000
3.428180945,0,9076,63.69458376,834.0821302,675.1288367,1.00000
3.205090281,0,26,575.5171587,717.6517261,642.2061467,1.00000
3.141768293,0,6,716.2974243,717.6517261,717.0425499,1.00000
3.874970001,1,0,0,0,0,1.00000
3.870368339,1,0,0,0,0,1.00000
4.311124941,0,0,0,0,0,1.00000
3.70851673,1,0,0,0,0,1.00000
3.385311607,0,0,0,0,0,1.00000
3.752978263,1,0,0,0,0,1.00000
4.050089031,0,0,0,0,0,1.00000
4.055537408,0,0,0,0,0,1.00000
3.818127071,1,0,0,0,0,1.00000
4.249811825,0,0,0,0,0,1.00000
3.414252938,1,0,0,0,0,1.00000
4.077804805,1,0,0,0,0,1.00000
3.961306299,1,398,376.9615365,1092.622991,1052.455283,1.00000
3.102658985,1,0,0,0,0,1.00000
4.20196983,0,0,0,0,0,1.00000
3.007162199,1,0,0,0,0,1.00000
3.666740601,0,0,0,0,0,1.00000
3.667019678,1,0,0,0,0,1.00000
4.018485849,0,0,0,0,0,1.00000
3.567008506,1,0,0,0,0,1.00000
4.048557952,0,7386,124.3905141,634.7479815,156.4148973,1.00000
3.777713904,1,0,0,0,0,1.00000
3.432970038,0,410,242.0020661,585.8344476,280.9528065,1.00000
3.438008085,0,208,438.634244,717.6517261,566.1775457,1.00000
3.511436065,0,0,0,0,0,1.00000
3.589635919,1,0,0,0,0,1.00000
4.130744348,0,0,0,0,0,1.00000
3.992535965,1,0,0,0,0,1.00000
3.296227019,0,6,669.0478309,670.3290237,669.7883047,1.00000
4.026374851,1,0,0,0,0,1.00000
3.816961324,0,48,361.5314647,680.2095265,533.4025562,1.00000
3.783643353,1,50,194.4865034,563.9370532,387.9299634,1.00000
3.62260343,0,0,0,0,0,1.00000
3.941098279,1,0,0,0,0,1.00000
3.20036083,0,0,0,0,0,1.00000
3.480141301,0,4842,429.7033861,717.6517261,550.328944,1.00000
3.919500139,0,0,0,0,0,1.00000
3.566136897,1,0,0,0,0,1.00000
3.981070461,0,0,0,0,0,1.00000
3.838587529,1,0,0,0,0,1.00000
3.791943162,0,0,0,0,0,1.00000
3.818204385,1,0,0,0,0,1.00000
3.24397896,0,0,0,0,0,1.00000
3.773412371,0,1310,317.5216528,647.6557728,521.1346777,0.00000
3.928616825,1,52,670.3745222,1004.63028,841.1858354,1.00000
3.32117252,0,812,405.5231189,560.0446411,493.916326,1.00000
3.125725884,1,1414,302.2995203,800.6803357,577.8842962,1.00000
3.149168216,1,2170,143.9618005,484.8463674,241.5456631,1.00000
3.474331007,0,726,432.7135311,510.844399,476.6801983,0.00000
3.354272715,0,6998,202.7140844,579.3901967,439.6964455,0.00000
3.322203489,1,160,277.0739973,462.7094121,367.1123072,0.00000
3.177374416,1,2872,303.389189,1004.442134,482.4973613,0.00000
3.318332223,1,216,280.3176769,465.9881973,372.88303,0.00000
3.597129343,0,1348,251.7161099,572.1022636,503.6597526,0.00000
3.152890013,0,3028,182.0164828,569.9561387,397.7240928,0.00000
3.216715884,1,152,308.058436,466.5029475,375.8855452,0.00000
3.302663289,1,798,218.4490787,478.1673347,354.4009285,0.00000
3.682248971,0,766,233.0708047,584.455302,463.2947834,0.00000
3.322654125,1,4060,165.6019324,476.5301669,243.8106328,0.00000
3.520538635,0,5892,241.6609195,571.3860341,504.8691237,0.00000
3.378433881,0,642,356.6342664,555.1549333,460.7396518,0.00000
3.484397347,1,890,312.2338867,970.2582131,662.3876882,0.00000
3.486299278,0,1508,160.0781059,647.7074957,454.8397404,0.00000
3.237000737,1,714,238.5162468,550.2453998,370.9121466,0.00000
3.538570053,0,3728,209.4182418,600.6679615,522.1803286,0.00000
3.288146329,1,1844,301.0265769,1029.516391,509.253869,0.00000
3.236944145,0,1284,203.2953516,599.9208281,451.8726035,0.00000
3.42851635,1,670,240.1603631,543.8841788,369.1710912,0.00000
3.40297561,0,2560,274.5778578,547.5636949,386.9979059,0.00000
3.508644579,0,742,239.8416144,576.44861,460.6312194,0.00000
3.066395526,1,614,226.3647499,539.636915,364.2057921,0.00000
3.711276015,1,804,301.2391077,800.5010931,575.8486041,0.00000
3.571088248,0,5034,244.3951718,575.6961004,445.599543,0.00000
3.47218876,1,132,281.6025568,456.5303933,359.6655295,0.00000
3.522095437,0,192,426.2686946,540.4535133,489.9352342,0.00000
3.685618964,0,1290,236.2117694,585.188004,488.3005643,0.00000
3.500730954,1,622,303.9161068,1015.025615,622.6574401,0.00000
3.402258522,1,746,298.5431292,547.1096782,375.7893215,0.00000
3.466006935,0,960,239.8416144,574.9756517,453.557683,0.00000
3.592589917,0,5066,206.7873304,594.0412444,453.6744951,0.00000
3.368547753,1,752,302.8035667,1013.966962,604.0627288,0.00000
3.189889892,1,1462,310.4464527,981.7132983,545.4874998,0.00000
3.607126231,0,4042,191.2302277,592.3731932,299.4770324,0.00000
3.221763687,1,230,268.8884527,482.5971405,379.5239969,0.00000
3.504167095,0,1620,209.4182418,591.7516371,474.7110625,0.00000
3.327564471,1,1434,279.1451235,488.8363734,393.0950305,0.00000
3.403159039,0,14,416.4048511,566.8694735,527.6191328,0.00000
3.398134565,1,226,302.1059417,798.7239824,576.9938694,0.00000
3.591706523,0,704,253.5527559,572.1022636,468.3429807,0.00000
3.239956431,1,6052,301.9552947,1012.739354,515.2594633,0.00000
3.319197357,0,2008,175.316856,577.9351175,464.8179686,0.00000
3.410857671,1,948,304.3451987,1012.563578,579.6541259,0.00000
3.311566016,1,578,250.3197955,557.0385983,379.3877063,0.00000
3.378632802,0,1336,216.5109697,538.7439095,477.4094541,0.00000
3.543322786,1,8,544.3473156,545.7215407,545.0346319,0.00000
3.492044023,1,736,201.0198995,478.715991,260.8315552,0.00000
3.696804729,0,1588,204.1665986,600.0041667,440.0104779,0.00000
3.519040618,1,7444,309.7256851,968.5638853,545.6619632,0.00000
3.47095954,0,976,224.2899909,594.1119423,473.2311631,0.00000
3.450313151,1,782,302.1208368,1015.812975,613.6351305,1.00000
3.354410923,0,2248,214.7091055,594.7839944,461.6979623,1.00000
3.512236396,0,1758,195.3586445,625.2591463,480.6906371,1.00000
3.861214592,1,3792,378.2076149,1003.611479,727.2301946,1.00000
3.604278589,0,140,422.8108324,548.7804661,495.3185734,1.00000
3.836034915,0,242,240.7509086,583.7233934,493.593083,1.00000
3.09370388,1,2174,159.2136929,476.5301669,378.5330702,1.00000
3.483460116,0,8,564.6848679,565.7782251,565.2315897,1.00000
3.191734785,1,2,1016.429535,1016.429535,1016.429535,1.00000
3.691863813,1,422,195.8162404,472.0550815,277.0403214,1.00000
3.41300897,1,2532,198.403629,475.4461063,241.0198064,1.00000
3.578462903,1,76,639.0312981,974.8379352,802.3178138,1.00000
3.306182996,1,170,298.8728827,485.9156305,399.6603177,1.00000
3.423420199,0,182,255.2195134,573.5895745,478.2711144,1.00000
3.514877529,0,116,399.2242478,547.5216891,480.8362488,1.00000
3.238951029,0,1992,290.396281,653.3146256,453.2910737,1.00000
3.522921457,1,844,304.8032152,1007.85366,647.4336026,1.00000
3.616762954,0,1950,119.8540779,749.449131,254.3992914,1.00000
3.663950939,0,1058,218.194867,566.3965042,452.6675836,1.00000
3.69210682,0,248,191.6689855,554.2797128,441.7234406,1.00000
3.677785055,1,286,308.084404,804.1915195,569.2011106,1.00000
3.432638441,1,296,261.2757164,497.8001607,382.1233646,1.00000
3.863697462,0,790,156.8470593,643.2612222,512.5046625,1.00000
3.812067429,1,142,316.0917588,980.3188257,563.1492149,1.00000
3.247354156,1,0,0,0,0,1.00000
3.37517662,1,618,449.0489951,689.1385927,492.344536,1.00000
3.502517985,1,0,0,0,0,1.00000
3.538080199,1,3176,166.2077014,482.5971405,287.0937655,1.00000
3.421119369,1,1164,331.6217725,961.8503002,678.1525692,1.00000
3.03639375,1,914,311.8012187,483.7189267,395.7422633,1.00000
3.493184355,1,780,289.456387,542.6278651,369.5683473,1.00000
3.579683594,0,3616,66.12866247,579.3487723,407.3827274,1.00000
3.371120087,1,9372,160.5147968,555.1089983,233.0720854,1.00000
3.264371328,1,190,249.6177077,472.1440458,361.7103939,1.00000
3.343584773,0,640,225.3974268,586.6557764,464.1889788,1.00000
3.454136358,1,160,278.9587783,491.8587196,386.8241061,1.00000
3.216960864,0,4670,260,564.9823006,480.0750705,1.00000
3.366805684,1,772,301.1062935,1023.7192,563.2903713,1.00000
3.457056936,0,5386,224.1093483,571.4542851,309.1461219,1.00000
3.576655652,0,60,194.3630623,412.0012136,285.5300572,1.00000
3.298197714,1,952,314.6505999,560.8029957,385.5987698,1.00000
3.357030954,1,680,320.1280994,905.2408519,591.7559239,1.00000
3.580193303,1,5798,301.7316689,1015.197025,594.5999855,1.00000
3.923506122,1,4016,309.2604081,996.2012849,516.9540316,1.00000
4.417203456,0,6596,85,230.9307255,154.6864863,1.00000
3.138113929,1,1116,310.2031592,992.2545036,669.7666467,1.00000
3.468499537,1,1416,193.6698221,553.0578632,348.5645926,0.00000
3.336598169,1,3274,302.5921347,1008.278731,512.7847728,0.00000
3.267317433,0,1400,228.6328935,569.991228,466.0370748,0.00000
3.28907014,1,570,258.6928681,540.0148146,365.5934289,1.00000
3.300987814,1,504,276.9205662,558.0035842,385.385262,1.00000
3.386202246,1,5718,116.2755348,491.7275668,255.5203514,1.00000
3.324374833,0,696,232.594067,588.126687,476.7761925,1.00000
3.406299314,1,634,301.5377257,1018.282868,580.2909628,1.00000
3.462937331,0,1660,226.3846285,554.4600978,447.1852032,1.00000
3.523120633,1,14,460.0391288,463.7326816,462.3143504,1.00000
3.25277965,1,330,250.3197955,470.8513566,360.2366159,1.00000
3.215062478,1,1254,278.7920372,538.7281318,365.6598359,1.00000
3.375370569,0,1098,234.1046774,561.4445654,479.8718908,1.00000
3.760403234,0,808,383.0156655,542.1162237,469.8719275,1.00000
2.995826186,1,596,302.2995203,1022.628476,604.6865365,1.00000
3.442714592,0,780,188.6796226,618.1690707,450.589242,1.00000
2.995826186,1,596,302.2995203,1022.628476,604.6865365,1.00000
3.244514908,0,5722,205.9126028,600.0908265,329.573242,1.00000
3.508383923,0,264,243.0740628,585.1367362,455.568012,1.00000
3.252246125,1,860,301.4249492,1021.383865,576.8156559,1.00000
3.198559393,0,8640,197.9419107,603.009121,316.0658816,1.00000
3.1293689,1,0,0,0,0,1.00000
3.508383923,0,264,243.0740628,585.1367362,455.568012,1.00000
3.389745613,0,344,267.0299609,564.9823006,502.3477593,1.00000
3.023842625,0,4486,357.2800022,541.3806424,450.3720074,1.00000
3.50646854,1,1746,303.2655602,1009.681138,555.7669828,1.00000
3.449483002,0,330,230.7899478,586.9795567,475.9796958,1.00000
3.09953059,0,708,247.1355903,577.8624404,468.3447364,1.00000
3.442714592,0,780,188.6796226,618.1690707,450.589242,1.00000
3.252246125,1,860,301.4249492,1021.383865,576.8156559,1.00000
3.382283443,1,8,323.1872522,328.0320106,325.8647077,1.00000
3.408713003,0,1312,260,566.4918358,484.1268425,1.00000
3.286416901,1,3128,228.2542442,486.5480449,399.0503264,1.00000
3.398449207,1,1284,302.8035667,1008.462196,575.4560562,1.00000
3.338513832,0,950,216.480946,594.0412444,480.5512307,1.00000
3.422989579,0,1162,185.6071119,597.6838629,449.1808734,1.00000
3.218146818,0,5174,288.3348748,727.6661322,451.2979933,1.00000
3.068323794,1,230,243.1830586,482.8923275,366.4897751,1.00000
3.288588143,0,42,369.778312,387.3306081,377.1845951,1.00000
3.38594515,1,824,301.2806001,1023.875481,582.7117573,1.00000
3.246911154,1,162,279.37967,463.9062405,371.393137,1.00000
3.370296514,1,210,616.9667738,948.9704948,814.2540188,1.00000
3.219802665,1,820,287.5778156,468.0267086,377.3062143,1.00000
3.42689393,0,1684,266.1014844,565.6871927,500.7951187,1.00000
2.979577459,1,0,0,0,0,1.00000
3.276054512,1,850,148.1215717,479.8176737,223.3053416,1.00000
3.758057185,0,1290,146.5776245,670.4453744,474.4522769,1.00000
3.369612569,0,2020,214.7091055,595.5274973,479.6192641,1.00000
3.370296514,1,210,616.9667738,948.9704948,814.2540188,1.00000
3.42689393,0,1684,266.1014844,565.6871927,500.7951187,1.00000
3.219802665,1,820,287.5778156,468.0267086,377.3062143,1.00000
3.163833923,0,0,0,0,0,1.00000
3.276054512,1,850,148.1215717,479.8176737,223.3053416,1.00000
3.758057185,0,1290,146.5776245,670.4453744,474.4522769,1.00000
3.369612569,0,2020,214.7091055,595.5274973,479.6192641,1.00000
3.189822476,1,712,278.7920372,471.1698208,371.8541194,1.00000
3.45283659,1,4520,157.9525245,495.8316246,236.4897308,1.00000
3.228429578,0,3620,197.010152,537.0335185,465.0834887,1.00000
3.240125818,0,158,188.6796226,601.4465895,276.9279378,1.00000
3.43130817,0,1294,272.9047453,496.8068035,367.3246387,1.00000
3.851544759,1,848,714.9181771,906.7590639,789.5556676,1.00000
3.436775012,0,992,249.8819721,575.3511971,505.635224,1.00000
3.575546457,1,42,301.8029158,690.2789291,329.2189144,1.00000
3.470988572,0,1288,153.9123127,626.4902234,428.08944,1.00000
3.049933683,1,1034,279.1451235,462.9135988,390.7956727,1.00000
3.419908812,1,1236,303.2655602,1011.514211,592.0229952,1.00000
3.096036612,0,1664,249.8819721,576.4833042,485.5485555,1.00000
3.591592383,0,272,222.2656069,597.0167502,495.4232354,1.00000
3.105668319,1,0,0,0,0,1.00000
3.274370918,0,980,206.7873304,604.4145928,454.4759531,1.00000
3.200518597,1,1206,327.0856157,954.6941919,664.9184347,1.00000
3.184212371,0,734,259.0772086,572.2071303,497.5343439,1.00000
2.91682168,1,654,296.0439157,465.9624448,370.3337034,1.00000
3.429853002,1,2006,301.1345214,1023.25168,574.5056189,1.00000
3.26617672,0,998,250.7987241,574.9756517,474.9882382,1.00000
3.047202333,1,6214,162.8066338,467.5082887,234.8578263,1.00000
3.186150744,0,1252,235.3061835,588.8633118,494.4979104,1.00000
3.493794587,0,8,560.5443783,561.7116698,561.1281048,1.00000
3.08695783,0,2142,15.29705854,596.1560198,395.7026123,1.00000
3.291641196,1,3866,304.3451987,997.008024,627.0395347,1.00000
3.188853864,1,742,338.4966765,588.1292375,407.5856739,1.00000
3.606189154,0,524,206.3055986,594.7839944,447.5358987,1.00000
2.973891681,1,0,0,0,0,1.00000
3.439594256,0,1590,379.1530034,553.7661962,475.355305,1.00000
2.822215595,0,3078,73.78346698,426.414118,383.1209178,1.00000
3.12485273,0,0,0,0,0,1.00000
3.189822476,1,712,278.7920372,471.1698208,371.8541194,1.00000
2.973891681,1,0,0,0,0,1.00000
3.45284044,0,892,259.0772086,567.8283191,471.4561185,1.00000
3.223211378,1,5566,149.1643389,470.1159431,231.005098,1.00000
3.343578274,0,1566,395.839614,544.1516333,480.1997965,1.00000
3.398420616,1,654,303.5951251,473.8311936,384.6837514,1.00000
4.098122319,0,174,188.6796226,629.672931,339.493111,1.00000
3.630327583,1,258,321.5042768,1021.855665,599.6807679,1.00000
2.992270941,1,2066,150.6320019,463.5698437,333.0882586,1.00000
3.542749205,0,1010,240.7509086,586.6557764,496.9452113,1.00000
2.945581263,1,846,285.3559181,466.9914346,365.1971003,1.00000
3.054108468,0,3724,196.3695496,605.9183113,324.3391317,1.00000
2.961593191,0,1248,185.0756602,628.171951,450.0541494,1.00000
3.10281481,0,1188,365.656943,526.8178053,446.5796201,1.00000
3.663452421,1,434,303.9161068,1014.523041,598.2357508,0.00000
3.5996303,0,808,262.7717641,568.5578247,485.7261676,0.00000
3.277025388,0,1782,258.1549922,569.9719291,479.1983075,0.00000
3.220222072,1,322,238.5162468,491.1466176,366.5490122,0.00000
3.752322242,1,1934,301.0813843,800.2499609,551.4644588,0.00000
3.151919841,0,704,354.3811507,553.7661962,455.8592434,0.00000
3.549532028,1,882,301.0016611,799.3603693,562.1500072,0.00000
3.534268651,0,808,408.1874569,509.5978807,466.0737784,0.00000
3.11949126,1,1188,310.9421168,803.507934,514.6902218,0.00000
2.815293177,0,3952,416.1922633,557.9435455,516.713626,0.00000
3.42715192,1,1372,296.0439157,503.0159043,400.0022775,0.00000
3.49109524,0,2744,327.7575323,531.415092,418.4950165,0.00000
3.354995123,0,754,249.8819721,570.6881811,460.4673304,0.00000
3.25040377,1,532,188.4038216,479.8176737,304.1822753,0.00000
3.345801873,1,678,262.3928353,475.4461063,365.9371055,0.00000
3.390617758,0,738,387.1382182,553.7661962,482.2718752,0.00000
3.374569781,1,838,273.5434152,469.0682253,371.6110674,0.00000
3.466693214,0,1766,254.0806958,574.3448441,492.9714139,0.00000
3.25380717,1,882,299.8166106,477.0744177,383.9169942,0.00000
3.391137362,0,1576,392.9376541,536.0643618,475.14703,0.00000
3.38681646,1,634,304.9065431,1005.04975,619.4553421,0.00000
3.261753641,0,1460,260.9233604,568.5578247,488.6247529,0.00000
3.232560243,1,190,284.4169475,464.9440827,373.3816289,0.00000
3.253447294,0,1052,260.9233604,567.1155085,473.7781081,0.00000
3.254893675,0,764,220.0363606,600.0041667,473.5614654,0.00000
3.209372699,1,926,307.7287767,991.6632493,646.5462412,0.00000
3.397073686,1,5074,161.0124219,468.5466892,244.7850048,0.00000
3.346255283,0,2690,224.8644036,546.8793286,469.840839,0.00000
3.64574046,1,2098,301.8029158,1013.966962,561.6311168,0.00000
3.548640301,0,1410,239.8416144,582.3100549,484.5285709,0.00000
3.337315841,1,0,0,0,0,0.00000
3.287471969,0,1352,223.6067977,643.8019882,458.1626087,0.00000
3.316627503,1,1830,304.3451987,801.2646255,555.2328911,0.00000
3.325101146,0,1944,208.4706214,571.4052852,441.2623863,0.00000
3.545325677,1,5460,109.2748827,578.2802089,282.6119471,0.00000
3.553959449,0,1892,91.21951546,555.8506994,445.4754855,0.00000
3.227349682,0,3500,130.9198228,610.5513901,467.7436431,0.00000
3.651508702,1,866,303.5160622,1004.63028,607.2395123,0.00000
3.473618882,0,6622,208.6935552,583.7233934,296.3122198,0.00000
3.307940433,1,576,256.4624729,535.0009346,365.6638514,0.00000
3.613019618,0,2686,251.7161099,575.6961004,479.1272106,0.00000
3.37558528,1,8,490.5609035,491.8739676,491.2176198,0.00000
3.608660315,1,0,0,0,0,0.00000
3.551222945,0,4044,242.11774,579.3107974,374.8588296,0.00000
3.587327485,0,676,215.5945268,604.4145928,483.5415868,0.00000
3.67653269,1,156,554.3978716,993.2275671,823.28181,0.00000
3.226978639,1,5442,259.3838854,472.2298169,409.9435817,0.00000
3.236501629,0,24,456.1326561,588.7113045,525.4331832,0.00000
3.262748131,1,924,293.2183487,468.5466892,369.2283897,0.00000
3.441383183,1,3578,184.0108692,481.4810484,310.2231652,0.00000
3.48252515,0,822,251.8034948,559.343365,472.2338675,0.00000
3.346735517,1,1734,307.9383055,988.7168452,567.0740982,0.00000
3.272660977,0,3630,85.58621384,661.2019359,421.0798656,0.00000
3.540457658,1,12,281.0160138,538.013011,419.4036899,0.00000
3.302614947,0,384,225.3974268,575.1495458,431.8542013,0.00000
3.525204115,1,4218,161.9876539,548.6875249,261.6324549,0.00000
3.559654098,0,888,245.3079697,577.1724179,475.8978147,0.00000
3.686096736,0,130,252.770647,575.069561,486.7426135,0.00000
3.534460473,1,5446,302.2085373,1012.739354,484.8832694,0.00000
3.356614963,0,1728,193.7937047,590.2762065,404.9916128,0.00000
3.339702768,1,240,319.1567013,575.1278119,405.2061851,0.00000
3.486035753,0,2160,102.1763182,553.073232,287.5411787,0.00000
3.080244235,1,4872,287.2350953,471.6990566,384.2825628,0.00000
3.239843651,0,146,396.0618639,553.0461102,483.6569973,0.00000
3.282413051,1,238,303.2705063,472.6097756,391.9195368,0.00000
3.60154902,1,842,305.4586715,1007.24575,622.3097337,0.00000
3.49815746,0,4508,218.3437657,572.1022636,492.6795947,0.00000
3.359059437,0,6364,211.1776503,592.558014,530.7420378,0.00000
3.499629388,1,0,0,0,0,0.00000
3.460378662,0,1838,145.7737974,544.8320842,355.3815473,0.00000
3.292840725,1,790,302.6499628,465.9624448,375.0896286,0.00000
3.311310635,0,1138,233.8632079,577.9766431,501.0882206,0.00000
3.19474583,1,4398,200.4195599,470.6421146,300.5472355,0.00000
3.312925759,0,2668,193.3494246,513.3517313,385.5485994,0.00000
3.500111826,1,4,537.4504628,538.4496262,537.9500445,0.00000
3.493146083,0,6682,245.9430828,548.249031,478.0167486,0.00000
3.352804961,0,716,255.5386468,564.9823006,453.1613263,0.00000
3.588679456,1,130,247.7761086,478.1673347,372.2925409,0.00000
3.660298795,0,4730,211.4544868,543.4721704,452.6226955,0.00000
2.9947091,1,202,261.6447974,469.4731089,362.8388211,0.00000
3.304405317,0,326,429.3029234,519.1194468,485.6492653,0.00000
3.31237565,0,1210,400.679423,557.9435455,487.9502546,0.00000
3.227218029,1,938,177.2822608,473.2958905,263.7021201,0.00000
3.293356567,1,702,257.7692767,466.9914346,363.8455684,0.00000
3.381272304,0,602,267.0299609,563.5645482,482.598553,0.00000
3.271722822,0,548,409.4007816,520.9856044,473.0178492,0.00000
3.390237366,1,1844,308.3666649,1000.402419,578.7914081,0.00000
3.563624993,0,1428,243.483059,572.1477082,466.7574995,0.00000
3.512588876,1,2016,81.98780397,555.008108,300.2000811,0.00000
3.489485276,0,1532,287.4717377,423.5304003,345.0147763,0.00000
3.740506617,0,326,223.6067977,585.8685859,464.4681827,0.00000
3.47499953,1,188,255.704908,477.620142,358.9297744,0.00000
3.746629355,0,242,235.0531855,586.9079996,477.3708685,0.00000
3.482865858,1,1606,302.2085373,1010.902567,531.532624,0.00000
3.477891159,1,2936,307.1188695,979.4003267,602.3880564,0.00000
3.422544912,0,3410,54.67174773,644.0496875,448.9571212,0.00000
3.2714276,1,686,339.7440213,577.4296494,403.6572434,0.00000
3.199687463,0,222,229.0261994,555.1549333,408.9094158,0.00000
3.46688572,0,740,244.3951718,750.0513316,429.6126392,0.00000
